deadline_success_ratio,execution_time,mean_best_effort,mean_deadline,median_best_effort,median_deadline,no_batches,no_best_effort,no_deadline,no_workers,scheduler,seed,std_best_effort,std_deadline,strictness,total_time
0.0,16.4858520031,0.600134874759,0.702907873313,1.0,1.0,2800.0,2595.0,200.0,100.0,fair,6.0,0.488126942084,0.421714544768,0.2,1200.0
0.0,16.4858520031,0.600134874759,0.702907873313,1.0,1.0,2800.0,2595.0,200.0,100.0,fair,6.0,0.488126942084,0.421714544768,0.5,1200.0
0.0,21.4306368828,0.240769230769,1.0,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,7.0,0.427550474545,0.0,0.0,1200.0
0.115,21.4306368828,0.240769230769,1.0,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,7.0,0.427550474545,0.0,0.2,1200.0
0.33,21.4306368828,0.240769230769,1.0,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,7.0,0.427550474545,0.0,0.5,1200.0
0.0,18.8912980556,0.642653846154,0.796798990313,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,7.0,0.477692199478,0.340988929356,0.0,1200.0
0.0,18.8912980556,0.642653846154,0.796798990313,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,7.0,0.477692199478,0.340988929356,0.2,1200.0
0.0,18.8912980556,0.642653846154,0.796798990313,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,7.0,0.477692199478,0.340988929356,0.5,1200.0
0.0,20.3173241615,0.201923076923,0.97933747412,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,8.0,0.401435110484,0.140217146357,0.0,1200.0
0.155,20.3173241615,0.201923076923,0.97933747412,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,8.0,0.401435110484,0.140217146357,0.2,1200.0
0.32,20.3173241615,0.201923076923,0.97933747412,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,8.0,0.401435110484,0.140217146357,0.5,1200.0
0.0,17.8561880589,0.709038228781,0.877968147716,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,8.0,0.452986984978,0.253035474892,0.0,1200.0
0.0,17.8561880589,0.709038228781,0.877968147716,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,8.0,0.452986984978,0.253035474892,0.2,1200.0
0.005,17.8561880589,0.709038228781,0.877968147716,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,8.0,0.452986984978,0.253035474892,0.5,1200.0
0.0,23.1845118999,0.0,0.919518072289,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,9.0,0.0,0.271236262649,0.0,1200.0
0.03,23.1845118999,0.0,0.919518072289,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,9.0,0.0,0.271236262649,0.2,1200.0
0.07,23.1845118999,0.0,0.919518072289,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,9.0,0.0,0.271236262649,0.5,1200.0
0.0,19.8217909336,0.769566710316,0.901583409385,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,9.0,0.417933035762,0.244444755327,0.0,1200.0
0.0,19.8217909336,0.769566710316,0.901583409385,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,9.0,0.417933035762,0.244444755327,0.2,1200.0
0.005,19.8217909336,0.769566710316,0.901583409385,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,9.0,0.417933035762,0.244444755327,0.5,1200.0
0.005,20.6277749538,0.284,0.995175916602,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,10.0,0.450834440019,0.0680520708324,0.0,1200.0
0.27,20.6277749538,0.284,0.995175916602,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,10.0,0.450834440019,0.0680520708324,0.2,1200.0
0.48,20.6277749538,0.284,0.995175916602,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,10.0,0.450834440019,0.0680520708324,0.5,1200.0
0.0,18.0656349659,0.811295895504,0.894523074743,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,10.0,0.388295062789,0.242507339421,0.0,1200.0
0.0,18.0656349659,0.811295895504,0.894523074743,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,10.0,0.388295062789,0.242507339421,0.2,1200.0
0.02,18.0656349659,0.811295895504,0.894523074743,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,10.0,0.388295062789,0.242507339421,0.5,1200.0
