deadline_success_ratio,execution_time,log,mean_best_effort,mean_deadline,median_best_effort,median_deadline,no_batches,no_best_effort,no_deadline,no_workers,scheduler,seed,std_best_effort,std_deadline,strictness,total_time
0.003125,158.467025042,False,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,1.0,0.0,0.0,0.0,2400.0
0.328125,158.467025042,False,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,1.0,0.0,0.0,0.2,2400.0
0.471875,158.467025042,False,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,1.0,0.0,0.0,0.4,2400.0
0.553125,158.467025042,False,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,1.0,0.0,0.0,0.6,2400.0
0.60625,158.467025042,False,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,1.0,0.0,0.0,0.8,2400.0
0.6375,158.467025042,False,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,1.0,0.0,0.0,1.0,2400.0
0.0,135.247285128,False,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,1.0,0.0,0.0,0.0,2400.0
0.046875,135.247285128,False,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,1.0,0.0,0.0,0.2,2400.0
0.084375,135.247285128,False,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,1.0,0.0,0.0,0.4,2400.0
0.15625,135.247285128,False,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,1.0,0.0,0.0,0.6,2400.0
0.278125,135.247285128,False,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,1.0,0.0,0.0,0.8,2400.0
0.425,135.247285128,False,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,1.0,0.0,0.0,1.0,2400.0
0.0,3401.16500306,False,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,aware,1.0,0.0,0.0,0.0,2400.0
0.171875,3401.16500306,False,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,aware,1.0,0.0,0.0,0.2,2400.0
0.30625,3401.16500306,False,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,aware,1.0,0.0,0.0,0.4,2400.0
0.396875,3401.16500306,False,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,aware,1.0,0.0,0.0,0.6,2400.0
